PRIVATE  OFFICES  -  AVERAGE  RENTS  BY  GRADE  AND  DISTRICT [QUARTERLY[FROM99]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter,Grade A Sheung Wan,Grade A Sheung Wan - Remarks,Grade A Central,Grade A Central - Remarks,Grade A Wan Chai / Causeway Bay,Grade A Wan Chai / Causeway Bay - Remarks,Grade A North Point / Quarry Bay,Grade A North Point / Quarry Bay - Remarks,Grade A Tsim Sha Tsui,Grade A Tsim Sha Tsui - Remarks,Grade A Yau Ma Tei / Mong Kok,Grade A Yau Ma Tei / Mong Kok - Remarks,Grade A Kowloon Bay / Kwun Tong,Grade A Kowloon Bay / Kwun Tong - Remarks,Grade B Sheung Wan,Grade B Sheung Wan - Remarks,Grade B Central,Grade B Central - Remarks,Grade B Wan Chai / Causeway Bay,Grade B Wan Chai / Causeway Bay - Remarks,Grade B North Point / Quarry Bay,Grade B North Point / Quarry Bay - Remarks,Grade B Tsim Sha Tsui,Grade B Tsim Sha Tsui - Remarks,Grade B Yau Ma Tei / Mong Kok,Grade B Yau Ma Tei / Mong Kok - Remarks,Grade B Kowloon Bay / Kwun Tong,Grade B Kowloon Bay / Kwun Tong - Remarks,Grade C Sheung Wan,Grade C Sheung Wan - Remarks,Grade C Central,Grade C Central - Remarks,Grade C Wan Chai / Causeway Bay,Grade C Wan Chai / Causeway Bay - Remarks,Grade C North Point / Quarry Bay,Grade C North Point / Quarry Bay - Remarks,Grade C Tsim Sha Tsui,Grade C Tsim Sha Tsui - Remarks,Grade C Yau Ma Tei / Mong Kok,Grade C Yau Ma Tei / Mong Kok - Remarks,Grade C Kowloon Bay / Kwun Tong,Grade C Kowloon Bay / Kwun Tong - Remarks
01-03/1999,283,,445,,337,,224,,281,,242,,n/a,,196,,327,,244,,198,,247,,219,,n/a,,198,,249,,248,,223,,247,,215,,n/a,
04-06/1999,262,,401,,290,,218,,257,,233,,n/a,,176,,301,,223,,188,,235,,210,,n/a,,180,,244,,227,,213,,239,,209,,n/a,
07-09/1999,267,,384,,272,,215,,270,,224,,n/a,,175,,310,,221,,185,,221,,207,,n/a,,178,,247,,217,,200,,220,,198,,n/a,
10-12/1999,270,,398,,251,,221,,262,,239,,n/a,,176,,307,,198,,188,,233,,221,,n/a,,171,,228,,211,,227,,212,,218,,n/a,
01-03/2000,232,,384,,270,,228,,255,,291,,n/a,,183,,270,,201,,196,,214,,198,,n/a,,167,,221,,215,,203,,217,,203,,n/a,
04-06/2000,334,,406,,294,,200,,269,,268,,n/a,,181,,281,,208,,137,,227,,211,,n/a,,170,,249,,211,,201,,221,,215,,n/a,
07-09/2000,360,,433,,321,,214,,271,,216,,n/a,,177,,302,,213,,159,,223,,211,,n/a,,161,,234,,212,,199,,234,,203,,n/a,
10-12/2000,360,,434,,318,,259,,267,,235,X,n/a,,180,,317,,230,,174,,234,,218,,n/a,,167,,234,,226,,214,,236,,203,,n/a,
01-03/2001,264,,490,,323,,284,,264,,280,,n/a,,183,,320,,228,,163,,247,,212,,n/a,,165,,240,,217,,207,,238,,202,,n/a,
04-06/2001,362,,487,,349,,265,,267,,245,X,n/a,,176,,334,,222,,169,,236,,216,,n/a,,168,,256,,210,,199,,233,,202,,n/a,
07-09/2001,338,,475,,333,,233,,262,,345,X,n/a,,175,,319,,214,,170,,250,,202,,n/a,,163,,257,,219,,198,,252,,202,,n/a,
10-12/2001,328,,432,,300,,243,,251,,331,,n/a,,175,,287,,207,,153,,246,,195,,n/a,,156,,237,,194,,203,,207,,201,,n/a,
01-03/2002,275,,360,,267,,222,,238,,-,,n/a,,154,,259,,194,,150,,211,,198,,n/a,,152,,216,,196,,184,,203,,184,,n/a,
04-06/2002,238,,346,,235,,198,,223,,206,X,n/a,,148,,239,,183,,130,,207,,189,,n/a,,148,,208,,191,,175,,201,,189,,n/a,
07-09/2002,243,,338,,227,,208,,221,,244,X,n/a,,147,,242,,182,,149,,209,,192,,n/a,,143,,211,,182,,181,,224,,179,,n/a,
10-12/2002,259,,319,,228,,183,,215,,211,X,n/a,,149,,223,,184,,143,,206,,193,,n/a,,138,,219,,180,,177,,195,,181,,n/a,
01-03/2003,244,,306,,219,,156,,203,,259,X,n/a,,140,,213,,170,,148,,203,,193,,n/a,,131,,191,,181,,178,,186,,171,,n/a,
04-06/2003,252,,275,,193,,157,,198,,225,X,n/a,,133,,222,,158,,140,,202,,177,,n/a,,128,,182,,166,,158,,180,,171,,n/a,
07-09/2003,189,,252,,179,,159,,191,,188,X,n/a,,125,,222,,160,,122,,194,,173,,n/a,,128,,189,,172,,154,,186,,168,,n/a,
10-12/2003,229,,242,,182,,175,,200,,179,X,n/a,,122,,216,,167,,118,,217,,174,,n/a,,128,,193,,159,,158,,179,,165,,n/a,
01-03/2004,238,,264,,190,,151,,203,,-,,n/a,,130,,218,,167,,122,,191,,175,,n/a,,132,,187,,173,,167,,182,,162,,n/a,
04-06/2004,211,,281,,195,,137,,209,,-,,n/a,,136,,218,,170,,124,,201,,184,,n/a,,136,,197,,179,,165,,194,,169,,n/a,
07-09/2004,238,,301,,188,,171,,216,,185,X,n/a,,131,,224,,168,,132,,218,,196,,n/a,,128,,202,,183,,165,,200,,165,,n/a,
10-12/2004,214,,322,,203,,158,,228,,201,X,n/a,,142,,238,,186,,131,,214,,204,,n/a,,127,,202,,182,,175,,206,,176,,n/a,
01-03/2005,232,,344,,261,,155,,253,,230,X,n/a,,142,,250,,187,,144,,220,,213,,n/a,,145,,210,,202,,174,,215,,173,,n/a,
04-06/2005,277,,377,,269,,177,,264,,282,,n/a,,154,,278,,189,,149,,224,,216,,n/a,,141,,221,,192,,182,,230,,190,,n/a,
07-09/2005,270,,458,,299,,208,,289,,292,,n/a,,163,,304,,199,,152,,242,,226,,n/a,,147,,248,,207,,190,,264,,204,,n/a,
10-12/2005,283,,479,,289,,214,,315,,329,,n/a,,188,,317,,222,,155,,265,,244,,n/a,,150,,263,,212,,195,,243,,193,,n/a,
01-03/2006,396,,496,,320,,215,,322,,355,,n/a,,193,,319,,237,,154,,292,,235,,n/a,,159,,254,,214,,194,,246,,188,,n/a,
04-06/2006,451,,567,,353,,249,,344,,331,,n/a,,197,,364,,240,,172,,259,,247,,n/a,,163,,279,,225,,199,,253,,205,,n/a,
07-09/2006,421,,577,,417,,266,,327,,427,,n/a,,197,,393,,255,,189,,273,,265,,n/a,,159,,297,,250,,208,,299,,213,,n/a,
10-12/2006,398,,601,,413,,250,,359,,343,,n/a,,205,,357,,277,,192,,282,,268,,n/a,,167,,294,,245,,214,,243,,212,,n/a,
01-03/2007,403,,644,,446,,282,,355,,380,,n/a,,218,,417,,294,,199,,294,,256,,n/a,,182,,288,,258,,220,,274,,213,,n/a,
04-06/2007,460,,698,,433,,267,,353,,383,,n/a,,221,,419,,292,,202,,286,,267,,n/a,,189,,309,,252,,233,,279,,217,,n/a,
07-09/2007,522,,789,,460,,309,,352,,367,,n/a,,255,,455,,301,,209,,296,,259,,n/a,,200,,333,,263,,236,,347,,225,,n/a,
10-12/2007,591,,772,,453,,300,,377,,355,,n/a,,268,,448,,332,,215,,297,,275,,n/a,,201,,345,,280,,258,,287,,229,,n/a,
01-03/2008,622,,850,,475,,312,,373,,424,,n/a,,281,,488,,343,,224,,304,,290,,n/a,,214,,360,,300,,265,,312,,218,,n/a,
04-06/2008,764,,967,,518,,339,,407,,419,,n/a,,272,,529,,372,,247,,327,,293,,n/a,,226,,382,,301,,272,,321,,255,,n/a,
07-09/2008,705,,1000,,556,,351,,419,,419,,n/a,,313,,598,,379,,265,,329,,310,,n/a,,227,,381,,331,,273,,382,,250,,n/a,
10-12/2008,537,,960,,567,,348,,398,,390,,n/a,,280,,571,,376,,262,,320,,300,,n/a,,227,,406,,305,,262,,331,,249,,n/a,
01-03/2009,573,,797,,502,,307,,341,,401,X,n/a,,249,,507,,332,,248,,290,,265,,n/a,,199,,340,,273,,241,,274,,219,,n/a,
04-06/2009,570,,699,,443,,302,,324,,391,,n/a,,230,,464,,305,,224,,273,,270,,n/a,,198,,325,,270,,237,,278,,225,,n/a,
07-09/2009,490,,751,,460,,320,,328,,417,,n/a,,238,,460,,320,,243,,286,,273,,n/a,,210,,364,,277,,233,,338,,227,,n/a,
10-12/2009,509,,733,,460,,318,,343,,329,,n/a,,236,,493,,336,,239,,284,,294,,n/a,,205,,365,,287,,253,,289,,236,,n/a,
01-03/2010,579,,725,,458,,319,,346,,492,,n/a,,267,,504,,342,,243,,303,,290,,n/a,,224,,379,,315,,262,,318,,236,,n/a,
04-06/2010,633,,768,,470,,309,,362,,410,,n/a,,264,,516,,350,,248,,317,,302,,n/a,,233,,427,,319,,280,,305,,251,,n/a,
07-09/2010,644,,792,,485,,337,,377,,511,,n/a,,274,,526,,358,,262,,331,,324,,n/a,,236,,403,,345,,285,,355,,255,,n/a,
10-12/2010,561,,819,,517,,325,,388,,503,,n/a,,292,,541,,364,,253,,339,,322,,n/a,,248,,420,,334,,294,,334,,265,,n/a,
01-03/2011,658,,876,,539,,355,,404,,601,,n/a,,288,,598,,381,,257,,343,,311,,n/a,,259,,405,,336,,293,,332,,269,,n/a,
04-06/2011,778,,959,,557,,362,,420,,511,,n/a,,306,,606,,391,,276,,339,,315,,n/a,,260,,430,,359,,314,,339,,281,,n/a,
07-09/2011,684,,1090,,607,,399,,454,,502,,n/a,,335,,627,,407,,298,,345,,333,,n/a,,280,,454,,384,,308,,406,,294,,n/a,
10-12/2011,603,,1087,,591,,423,,447,,619,,n/a,,319,,615,,399,,314,,349,,355,,n/a,,272,,474,,373,,319,,354,,301,,n/a,
01-03/2012,814,,1022,,625,,412,,448,,539,,n/a,,345,,631,,416,,322,,363,,365,,n/a,,289,,484,,377,,328,,376,,283,,n/a,
04-06/2012,819,,1043,,646,,401,,447,,491,,n/a,,345,,659,,424,,310,,373,,374,,n/a,,303,,491,,406,,344,,374,,314,,n/a,
07-09/2012,996,,1072,,685,,397,,461,,661,,n/a,,356,,638,,426,,315,,397,,408,,n/a,,316,,523,,406,,348,,427,,327,,n/a,
10-12/2012,686,,1105,,686,,421,,490,,498,,n/a,,367,,635,,446,,304,,402,,395,,n/a,,306,,523,,396,,355,,405,,328,,n/a,
01-03/2013,872,,1012,,679,,458,,502,,686,,n/a,,368,,622,,451,,340,,412,,382,,n/a,,336,,499,,414,,364,,392,,331,,n/a,
04-06/2013,815,,1010,,719,,439,,498,,589,,334,,368,,679,,461,,339,,415,,402,,333,,336,,513,,422,,381,,415,,345,,251,X
07-09/2013,770,,1037,,724,,492,,507,,512,,321,,407,,712,,481,,339,,415,,426,,300,,358,,548,,448,,381,,445,,375,,266,
10-12/2013,688,,984,,712,,457,,512,,710,,350,,390,,699,,468,,371,,415,,434,,314,,342,,544,,424,,375,,417,,360,,282,X
01-03/2014,719,,991,,702,,468,,532,,633,,339,,413,,695,,496,,371,,425,,434,,337,,358,,548,,446,,408,,440,,356,,-,
04-06/2014,811,,1018,,693,,454,,511,,748,,335,,424,,681,,489,,384,,434,,421,,371,,362,,539,,442,,395,,431,,378,,304,X
07-09/2014,680,,1035,,688,,478,,541,,594,,355,,443,,690,,479,,377,,434,,452,,347,,380,,554,,452,,409,,470,,379,,289,X
10-12/2014,784,,1007,,664,,509,,537,,745,,353,,469,,681,,510,,381,,445,,431,,324,,365,,599,,463,,407,,458,,381,,302,X
01-03/2015,906,,988,,670,,483,,537,,805,,350,,460,,694,,506,,368,,452,,442,,340,,407,,575,,469,,416,,455,,384,,-,
04-06/2015,908,,1005,,732,,450,,533,,648,,360,,463,,745,,521,,376,,461,,463,,439,,426,,568,,482,,423,,467,,399,,260,
07-09/2015,954,,1069,,735,,467,,535,,617,,377,,495,,750,,532,,391,,470,,476,,291,,415,,633,,487,,424,,503,,430,,278,X
10-12/2015,752,,1061,,732,,475,,551,,698,,393,,486,,767,,527,,393,,461,,468,,343,,410,,601,,469,,422,,474,,418,,275,X
01-03/2016,855,,1105,,729,,499,,561,,655,,372,,460,,725,,525,,395,,463,,459,,375,,421,,611,,469,,431,,476,,401,,-,
04-06/2016,1045,,1113,,730,,510,,539,,730,,373,,476,,753,,527,,372,,474,,457,,392,,406,,613,,487,,420,,466,,415,,293,X
07-09/2016,1034,,1115,,742,,509,,557,,672,,381,,475,,754,,524,,376,,470,,476,,405,,416,,625,,479,,431,,480,,399,,277,X
10-12/2016,839,,1125,,783,,506,,553,,824,,358,,495,,749,,535,,371,,493,,496,,364,,417,,615,,481,,428,,477,,421,,-,
01-03/2017,937,,1169,,770,,507,,566,,713,,353,,487,,799,,535,,407,,470,,492,,330,,433,,601,,488,,425,,462,,411,,-,
04-06/2017,905,,1168,,790,,496,,546,,641,,379,,505,,747,,543,,397,,478,,492,,392,,436,,604,,504,,436,,464,,410,,-,
07-09/2017,1039,,1224,,804,,533,,587,,655,,379,,540,,795,,543,,407,,480,,487,,359,,450,,631,,496,,439,,494,,445,,-,
10-12/2017,966,,1226,,767,,514,,568,,597,,386,,542,,820,,552,,407,,483,,472,,366,,425,,607,,487,,443,,486,,448,,191,X
01-03/2018,1040,,1211,,748,,537,,577,,813,,376,,550,,829,,554,,413,,484,,477,,353,,432,,643,,504,,458,,470,,433,,155,X
04-06/2018,1170,,1288,,780,,556,,576,,963,,396,,570,,839,,550,,433,,483,,493,,369,,429,,616,,496,,448,,488,,442,,247,X
07-09/2018,1239,,1246,,854,,511,,587,,742,,397,,574,,837,,568,,423,,500,,481,,301,,446,,653,,517,,470,,501,,459,,-,
10-12/2018,1063,,1327,,820,,559,,616,,758,,405,,587,,847,,565,,466,,504,,484,,363,,435,,667,,525,,461,,507,,455,,206,X
01-03/2019,1103,,1349,,843,,557,,610,,1075,,393,,550,,916,,568,,439,,496,,501,,353,,451,,647,,512,,452,,500,,453,,-,
04-06/2019,994,,1382,,933,,541,,598,,847,,399,,562,,887,,583,,456,,504,,520,,351,,473,,675,,529,,481,,490,,452,,192,X
07-09/2019,1121,,1347,,846,,579,,613,,700,,406,,560,,888,,580,,438,,506,,506,,354,,465,,679,,519,,482,,493,,478,,157,X
10-12/2019,946,,1360,,836,,568,,594,,749,X,386,,569,,894,,568,,432,,511,,489,,380,,435,,596,,521,,447,,473,,462,,193,X
01-03/2020,1054,,1277,,797,,566,,596,,873,,378,,545,,876,,553,,409,,471,,472,,352,,425,,623,,520,,454,,470,,427,,156,X
04-06/2020,918,,1234,,790,,585,,549,,752,,382,,538,,839,,534,,405,,459,,472,,315,,424,,577,,477,,442,,457,,420,,-,
07-09/2020,947,,1177,,779,,552,,564,,705,,360,,520,,789,,510,,410,,457,,456,,302,,410,,609,,475,,445,,447,,429,,202,X
10-12/2020,775,,1112,,712,,546,,515,,670,,341,,525,,782,,510,,409,,483,,443,,344,,398,,591,,478,,430,,465,,440,,144,X
01-03/2021,855,,1085,,741,,521,,522,,650,,344,,532,,762,,498,,393,,461,,453,,314,,416,,547,,484,,425,,447,,416,,-,
04-06/2021,923,,1086,,693,,610,,502,,627,,341,,485,,816,,506,,443,,450,,455,,311,,415,,582,,493,,445,,468,,419,,135,X
07-09/2021,866,,1034,,700,,521,,537,,676,,355,,517,,758,,522,,381,,470,,463,,298,,429,,609,,499,,448,,481,,452,,207,X
10-12/2021,863,,1101,,684,,538,,530,,734,,355,,557,,778,,527,,388,,475,,441,,326,,401,,587,,499,,453,,475,,448,,223,X
01-03/2022,707,,1097,,658,,540,,535,,668,,358,,511,,808,,516,,397,,465,,463,,326,,403,,601,,480,,435,,468,,428,,108,X
04-06/2022,894,,1000,,644,,545,,510,,718,,362,,485,,819,,507,,472,,444,,467,,296,,401,,571,,495,,436,,465,,438,,120,X
07-09/2022,987,,1027,,670,,514,,521,,598,,360,,493,,771,,480,,392,,459,,474,,310,,402,,602,,480,,443,,457,,453,,173,
10-12/2022,794,,993,,643,,503,,515,,508,,334,,489,,733,,502,,401,,467,,464,,332,,395,,568,,497,,423,,480,,461,,185,X
01-03/2023,719,,903,,628,,512,,505,,706,,330,,515,,767,,498,,389,,453,,473,,314,,411,,561,,478,,408,,456,,426,,93,X
04-06/2023,710,,985,,633,,496,,502,,611,,324,,470,,743,,500,,380,,461,,466,,333,,412,,582,,496,,443,,469,,445,,111,X
07-09/2023,769,,1014,,638,,486,,515,,666,,339,,512,,729,,502,,388,,465,,477,,342,,425,,578,,495,,464,,482,,449,,-,
10-12/2023,742,,998,,614,,517,,508,,636,,332,,476,,717,,501,,370,,466,,490,,323,,406,,565,,480,,453,,484,,438,,-,
01-03/2024,675,,959,,629,,522,,503,,573,,332,,505,,742,,508,,393,,450,,482,,319,,394,,574,,474,,429,,458,,429,,-,
04-06/2024,753,,918,,610,,565,,493,,581,,328,,465,,765,,486,,398,,440,,492,,291,,407,,564,,476,,445,,453,,447,,-,
07-09/2024,778,,847,,575,,472,,526,,638,,323,,463,,724,,478,,348,,452,,465,,309,,400,,573,,458,,448,,459,,439,,116,X
10-12/2024,594,P,866,P,593,P,481,P,522,P,-,P,306,P,479,P,748,P,503,P,363,P,539,P,487,P,368,P,391,P,562,P,467,P,441,P,503,P,453,P,126,PX
