PRIVATE   DOMESTIC  -  COMPLETIONS   BY   CLASS,,,,,,,,,,,,
Year,Class A (Completions),Class A (Completions) - Remarks,Class B (Completions),Class B (Completions) - Remarks,Class C (Completions),Class C (Completions) - Remarks,Class D (Completions),Class D (Completions) - Remarks,Class E (Completions),Class E (Completions) - Remarks,Total (Completions),Total (Completions) - Remarks
1985,19930,,6325,,1660,,1440,,520,,29875,
1986,17185,,11875,,2495,,1645,,905,,34105,
1987,10990,,18230,,3140,,1465,,550,,34375,
1988,10880,,16630,,3805,,2375,,780,,34470,
1989,6930,,22315,,4565,,1790,,885,,36485,
1990,7200,,17525,,2695,,1425,,555,,29400,
1991,4665,,23600,,3380,,1155,,580,,33380,
1992,8557,,14267,,2318,,713,,367,,26222,
1993,8056,,15663,,2975,,737,,242,,27673,
1994,9493,,18649,,4033,,1719,,279,,34173,
1995,4096,,12690,,3877,,1589,,369,,22621,
1996,2552,,10500,,5112,,1194,,517,,19875,
1997,1278,,13692,,2449,,488,,295,,18202,
1998,1249,,15987,,3037,,1454,,551,,22278,
1999,7271,,20982,,5451,,1188,,430,,35322,
2000,2683,,14753,,6025,,1998,,331,,25790,
2001,3257,,16475,,4320,,1810,,400,,26262,
2002,4733,,19984,,7251,,1289,,778,,34035,
2003,4738,,17908,,2349,,1043,,359,,26397,
2004,2122,,18225,,3110,,2112,,467,,26036,
2005,2408,,10754,,3091,,582,,486,,17321,
2006,1601,,10664,,2867,,1072,,375,,16579,
2007,1029,,7188,,1516,,480,,258,,10471,
2008,871,,4897,,1825,,723,,460,,8776,
2009,373,,2998,,1369,,1530,,887,,7157,
2010,689,,6742,,4534,,1182,,258,,13405,
2011,636,,4586,,3101,,919,,207,,9449,
2012,1511,,4496,,1720,,1827,,595,,10149,
2013,1423,,4688,,1207,,573,,363,,8254,
2014,2160,,8446,,4207,,666,,240,,15719,
2015,2135,,5047,,2190,,1471,,453,,11296,
2016,3937,,7162,,1413,,1325,,758,,14595,
2017,6891,,7665,,1794,,1058,,383,,17791,
2018,7212,,8237,,3414,,1541,,564,,20968,
2019,6622,,4174,,1506,,1025,,316,,13643,
2020,9230,,7742,,2779,,759,,378,,20888,
2021,5251,,6624,,2141,,249,,121,,14386,
2022,9881,,7668,,2046,,1052,,521,,21168,
2023,7806,,4667,,1060,,157,,162,,13852,
2024,10794,# Provisional figures (up to 31.01.2025).,10705,# Provisional figures (up to 31.01.2025).,1284,# Provisional figures (up to 31.01.2025).,913,# Provisional figures (up to 31.01.2025).,565,# Provisional figures (up to 31.01.2025).,24261,# Provisional figures (up to 31.01.2025).
2025,1250,# Provisional figures (up to 31.01.2025).,569,# Provisional figures (up to 31.01.2025).,63,# Provisional figures (up to 31.01.2025).,4,# Provisional figures (up to 31.01.2025).,0,# Provisional figures (up to 31.01.2025).,1886,# Provisional figures (up to 31.01.2025).
