PRIVATE   OFFICES  - COMPLETIONS BY   GRADE,,,,,,,,
Year,Grade A (Completions),Grade A  (Completions) - Remarks,Grade B (Completions),Grade B (Completions) - Remarks,Grade C (Completions),Grade C (Completions) - Remarks,Total (Completions),Total (Completions) - Remarks
1985,205000,,73300,,29900,,308200,
1986,14700,,13000,,18400,,46100,
1987,169900,,61400,,16000,,247300,
1988,222000,,15500,,9600,,247100,
1989,213500,,36800,,18900,,269200,
1990,64300,,90400,,45600,,200300,
1991,278800,,133200,,46700,,458700,
1992,339700,,141600,,83300,,564600,
1993,190100,,151200,,71500,,412800,
1994,329800,,114000,,58000,,501800,
1995,221800,,81800,,50900,,354500,
1996,130500,,89800,,48400,,268700,
1997,337800,,48400,,69900,,456100,
1998,635100,,62700,,38900,,736700,
1999,343300,,42800,,40900,,427000,
2000,63400,,14800,,17400,,95600,
2001,61100,,12300,,2800,,76200,
2002,116700,,36600,,12300,,165600,
2003,264700,,33800,,300,,298800,
2004,235300,,39100,,5100,,279500,
2005,30200,,2200,,1700,,34100,
2006,91500,,8700,,8000,,108200,
2007,286400,,31100,,2500,,320000,
2008,331700,,8700,,700,,341100,
2009,128800,,19400,,2800,,151000,
2010,115200,,7400,,1500,,124100,
2011,125500,,29700,,-,,155200,
2012,103700,,32000,,-,,135700,
2013,96800,,24700,,1200,,122700,
2014,86100,,13700,,3800,,103600,
2015,123900,,40600,,-,,164500,
2016,142200,,10700,,200,,153100,
2017,185900,,10200,,2000,,198100,
2018,178500,,700,,-,,179200,
2019,241900,,20200,,4800,,266900,
2020,46300,,22500,,200,,69000,
2021,48200,,21200,,200,,69600,
2022,299300,,50300,,1700,,351300,
2023,143400,,13900,,1400,,158700,
2024,146300,# Provisional figures (up to 31.01.2025).,-,# Provisional figures (up to 31.01.2025).,1000,# Provisional figures (up to 31.01.2025).,147300,# Provisional figures (up to 31.01.2025).
2025,-,# Provisional figures (up to 31.01.2025).,-,# Provisional figures (up to 31.01.2025).,-,# Provisional figures (up to 31.01.2025).,-,# Provisional figures (up to 31.01.2025).
