"PRIVATE   STORAGE  -  COMPLETIONS,   STOCK   AND   VACANCY",,,,,,,,
Year,Completions,Completions - Remarks,Stock at year end,Stock at year end - Remarks,Vacancy at year end,Vacancy at year end - Remarks,Vacancy as a % of stock,Vacancy as a % of stock - Remarks
1985,108600,,1910100,,61800,,0.032,
1986,110100,,2003400,,51800,,0.026,
1987,32600,,1889300,,4200,,0.002,
1988,214000,,2087500,,53000,,0.025,
1989,61100,,2085800,,58300,,0.028,
1990,76000,,2116000,,22500,,0.011,
1991,538400,,2756200,,283600,,0.103,
1992,474400,,3223800,,395700,,0.123,
1993,102900,,3263100,,208600,,0.064,
1994,202700,,3340400,,218700,,0.065,
1995,48500,,3190800,,262200,,0.082,
1996,82800,,3242100,,229700,,0.071,
1997,90000,,3290500,,310900,,0.094,
1998,123900,,3401000,,285600,,0.084,
1999,146800,,3526200,,286700,,0.081,
2000,6300,,3418500,,160400,,0.047,
2001,-,,3408400,,241900,,0.071,
2002,26600,,3396700,,253300,,0.075,
2003,-,,3381200,,197900,,0.059,
2004,-,,3390300,,158000,,0.047,
2005,12700,,3401400,,97300,,0.029,
2006,27400,,3430100,,101200,,0.03,
2007,-,,3420600,,95600,,0.028,
2008,4400,,3418200,,99300,,0.029,
2009,-,,3427700,,177300,,0.052,
2010,-,,3415700,,106700,,0.031,
2011,73000,,3472700,,131000,,0.038,
2012,123500,,3574100,,159600,,0.045,
2013,-,,3561700,,163900,,0.046,
2014,80200,,3646700,,215200,,0.059,
2015,-,,3644800,,153000,,0.042,
2016,73200,,3732700,,161700,,0.043,
2017,82800,,3810700,,259900,,0.068,
2018,3000,,3772800,,181400,,0.048,
2019,-,,3759400,,239200,,0.064,
2020,-,,3735100,,202100,,0.054,
2021,-,,3751500,,269200,,0.072,
2022,74600,,3818700,,237300,,0.062,
2023,200,,3678700,,206300,,0.056,
2024,-,# Provisional figures (up to 31.01.2025).,-,# Provisional figures (up to 31.01.2025).,-,# Provisional figures (up to 31.01.2025).,-,# Provisional figures (up to 31.01.2025).
2025,-,# Provisional figures (up to 31.01.2025).,-,# Provisional figures (up to 31.01.2025).,-,# Provisional figures (up to 31.01.2025).,-,# Provisional figures (up to 31.01.2025).
